"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
80.1591730318595,72.3554257855546,87.9629202781644,68.2243715315301,92.0939745321889
80.1591730318595,70.0330370700905,90.2853089936285,64.6725844924517,95.6457615712673
80.1591730318595,68.1517258448737,92.1666202188453,61.7953672627503,98.5229788009687
80.1591730318595,66.5276306987164,93.7907153650026,59.3115280794381,101.006817984281
80.1591730318595,65.0774256260615,95.2409204376575,57.0936308141081,103.224715249611
80.1591730318595,63.7549277507039,96.5634183130151,55.0710448526683,105.247301211051
80.1591730318595,62.5313705120802,97.7869755516388,53.1997755372533,107.118570526466
80.1591730318595,61.387396874331,98.930949189388,51.4502188361938,108.868127227525
80.1591730318595,60.3092425901583,100.009103473561,49.8013241498079,110.517021913911
80.1591730318595,59.2867055933318,101.031640470387,48.2374887642314,112.080857299488
80.1591730318595,58.3119751473614,102.006370916358,46.7467671888378,113.571578874881
80.1591730318595,57.3789137305161,102.939432333203,45.3197728941499,114.998573169569
